time,open,high,low,close,valley_peak,fast_ema,slow_ema
2021-11-25 00:50:00,9081.2,8885.3,8884.0,9082.3,3,9082.141184567052,9083.190539458683
2021-11-25 00:51:00,9082.4,8885.3,8884.7,9081.7,0,9082.043143552151,9083.024923963274
2021-11-25 00:52:00,9081.6,8885.3,8883.2,9082.1,0,9082.05577831834,9082.922154634021
2021-11-25 00:53:00,9082.2,8883.4,8882.5,9082.5,0,9082.154494247598,9082.875248563574
2021-11-25 00:54:00,9082.6,8885.0,8882.8,9081.1,0,9081.920162192577,9082.677998723177
2021-11-25 00:55:00,9081.0,8884.8,8883.4,9082.7,0,9082.093459483116,9082.680443309491
2021-11-25 00:56:00,9082.8,8883.9,8881.6,9083.7,0,9082.450468486868,9082.793727386215
2021-11-25 00:57:00,9083.8,8882.9,8881.2,9083.7,1,9082.728142156453,9082.894424343303
2021-11-25 00:58:00,9083.8,8883.4,8882.5,9083.7,0,9082.94411056613,9082.983932749603
2021-11-25 00:59:00,9083.6,8882.9,8882.1,9081.9,0,9082.71208599588,9082.863495777425
2021-11-25 01:00:00,9081.8,8883.9,8882.3,9081.7,0,9082.487177996796,9082.734218468822
2021-11-25 01:01:00,9081.8,8884.6,8883.7,9080.5,0,9082.045582886398,9082.485971972286
2021-11-25 01:02:00,9080.4,8884.2,8882.8,9080.3,0,9081.65767557831,9082.243086197588
2021-11-25 01:03:00,9080.2,8883.5,8882.6,9081.3,0,9081.578192116463,9082.138298842301
2021-11-25 01:04:00,9081.4,8884.7,8882.9,9082.3,0,9081.73859386836,9082.1562656376
2021-11-25 01:05:00,9082.4,8885.9,8884.6,9082.5,0,9081.907795230947,9082.194458344535
2021-11-25 01:06:00,9082.4,8886.4,8885.1,9082.3,0,9081.994951846293,9082.206185195142
2021-11-25 01:07:00,9082.2,8886.1,8885.0,9083.9,0,9082.41829588045,9082.394386840126
2021-11-25 01:08:00,9083.8,8886.6,8885.7,9082.9,3,9082.52534124035,9082.450566080111
2021-11-25 01:09:00,9083.0,8886.1,8885.2,9083.3,0,9082.697487631383,9082.544947626766
2021-11-25 01:10:00,9083.2,8885.4,8884.3,9082.1,0,9082.564712602187,9082.49550900157
2021-11-25 01:11:00,9082.0,8885.1,8883.8,9080.7,0,9082.150332023923,9082.296008001396
2021-11-25 01:12:00,9080.8,8885.3,8883.6,9080.3,0,9081.739147129718,9082.074229334574
2021-11-25 01:13:00,9080.2,8885.9,8885.0,9079.3,0,9081.197114434224,9081.765981630731
2021-11-25 01:14:00,9079.4,8885.2,8883.8,9081.9,0,9081.35331122662,9081.78087256065
2021-11-25 01:15:00,9082.0,8884.5,8883.9,9082.3,0,9081.563686509593,9081.838553387244
2021-11-25 01:16:00,9082.4,8885.0,8884.0,9081.7,0,9081.59397839635,9081.82315856644
2021-11-25 01:17:00,9081.8,8884.8,8883.5,9082.5,0,9081.795316530493,9081.898363170169
2021-11-25 01:18:00,9082.4,8884.4,8882.9,9082.3,0,9081.907468412606,9081.942989484594
2021-11-25 01:19:00,9082.4,8884.6,8882.8,9082.1,1,9081.950253209805,9081.960435097417
2021-11-25 01:20:00,9082.0,8884.6,8883.2,9081.5,0,9081.850196940959,9081.909275642149
2021-11-25 01:21:00,9081.4,8885.5,8883.8,9082.1,0,9081.905708731858,9081.930467237466
2021-11-25 01:22:00,9082.0,8885.6,8884.4,9081.7,0,9081.859995680334,9081.904859766637
2021-11-25 01:23:00,9081.6,8885.4,8884.7,9081.7,0,9081.824441084704,9081.882097570344
2021-11-25 01:24:00,9081.6,8886.6,8884.7,9082.5,0,9081.974565288103,9081.95075339586
2021-11-25 01:25:00,9082.6,8886.1,8885.2,9083.3,0,9082.26910633519,9082.10066968521
2021-11-25 01:26:00,9083.2,8886.1,8885.1,9083.5,0,9082.542638260704,9082.256150831297
2021-11-25 01:27:00,9083.6,8887.6,8884.9,9083.9,3,9082.84427420277,9082.438800738932
2021-11-25 01:28:00,9084.0,8887.3,8886.1,9084.7,0,9083.256657713266,9082.690045101273
2021-11-25 01:29:00,9084.6,8886.4,8885.5,9083.9,0,9083.399622665873,9082.824484534465
2021-11-25 01:30:00,9084.0,8886.7,8885.3,9082.7,0,9083.244150962346,9082.810652919525
2021-11-25 01:31:00,9082.8,8887.3,8886.4,9082.5,0,9083.078784081825,9082.776135928467
2021-11-25 01:32:00,9082.6,8886.8,8885.1,9083.7,0,9083.216832063641,9082.87878749197
2021-11-25 01:33:00,9083.6,8886.2,8884.6,9084.7,0,9083.546424938388,9083.081144437307
2021-11-25 01:34:00,9084.6,8885.1,8883.4,9084.9,0,9083.847219396524,9083.283239499828
2021-11-25 01:35:00,9084.8,8884.7,8883.7,9085.3,0,9084.17005953063,9083.507323999847
2021-11-25 01:36:00,9085.2,8884.0,8882.9,9084.9,1,9084.332268523824,9083.662065777642
2021-11-25 01:37:00,9085.0,8883.9,8883.1,9084.7,0,9084.413986629641,9083.777391802349
2021-11-25 01:38:00,9084.6,8884.2,8883.1,9084.1,0,9084.344211823054,9083.813237157643
2021-11-25 01:39:00,9084.0,8885.5,8883.6,9083.1,0,9084.06772030682,9083.733988584572
2021-11-25 01:40:00,9083.2,8885.8,8885.0,9082.7,0,9083.763782460861,9083.619100964064
2021-11-25 01:41:00,9082.8,8887.2,8885.5,9084.1,0,9083.838497469558,9083.67253419028
2021-11-25 01:42:00,9084.2,8887.8,8887.1,9084.1,0,9083.89660914299,9083.72003039136
2021-11-25 01:43:00,9084.2,8888.3,8886.9,9082.9,0,9083.675140444548,9083.628915903431
2021-11-25 01:44:00,9083.0,8889.7,8887.8,9081.7,0,9083.23622034576,9083.414591914161
2021-11-25 01:45:00,9081.8,8889.5,8888.6,9081.3,0,9082.805949157813,9083.179637257032
2021-11-25 01:46:00,9081.4,8890.4,8889.1,9081.5,0,9082.515738233855,9082.99301089514
2021-11-25 01:47:00,9081.4,8891.9,8890.2,9081.1,0,9082.201129737443,9082.782676351235
2021-11-25 01:48:00,9081.0,8892.5,8891.2,9081.1,0,9081.956434240234,9082.595712312208
2021-11-25 01:49:00,9081.2,8894.2,8892.5,9081.9,0,9081.94389329796,9082.518410944185
2021-11-25 01:50:00,9082.0,8894.9,8893.8,9081.7,0,9081.889694787302,9082.42747639483
2021-11-25 01:51:00,9081.6,8895.0,8893.5,9082.5,4,9082.025318167902,9082.435534573182
2021-11-25 01:52:00,9082.6,8893.7,8892.3,9081.7,0,9081.9530252417,9082.353808509495
2021-11-25 01:53:00,9081.8,8893.2,8892.1,9081.7,0,9081.896797410212,9082.281163119551
2021-11-25 01:54:00,9081.6,8894.3,8893.0,9080.9,0,9081.67528687461,9082.127700550713
2021-11-25 01:55:00,9081.0,8894.2,8893.0,9081.1,0,9081.54744534692,9082.013511600633
2021-11-25 01:56:00,9081.0,8893.4,8892.3,9081.7,0,9081.581346380937,9081.97867697834
2021-11-25 01:57:00,9081.6,8893.5,8892.9,9081.9,0,9081.652158296285,9081.969935091858
2021-11-25 01:58:00,9081.8,8893.0,8891.9,9080.3,0,9081.351678674888,9081.784386748319
2021-11-25 01:59:00,9080.4,8892.7,8891.6,9081.1,0,9081.295750080468,9081.708343776283
2021-11-25 02:00:00,9081.0,8892.8,8891.6,9081.5,0,9081.341138951475,9081.685194467807
2021-11-25 02:01:00,9081.6,8892.2,8891.2,9082.1,0,9081.509774740036,9081.731283971385
2021-11-25 02:02:00,9082.2,8892.5,8891.3,9082.1,0,9081.640935908918,9081.772252419009
2021-11-25 02:03:00,9082.0,8892.8,8891.8,9081.3,0,9081.565172373603,9081.719779928007
2021-11-25 02:04:00,9081.4,8894.0,8892.0,9082.1,0,9081.684022957246,9081.762026602673
2021-11-25 02:05:00,9082.2,8893.3,8892.4,9081.3,0,9081.598684522303,9081.710690313488
2021-11-25 02:06:00,9081.4,8892.9,8891.6,9081.7,0,9081.621199072903,9081.709502500878
2021-11-25 02:07:00,9081.8,8891.6,8890.7,9081.1,0,9081.505377056703,9081.64178000078
2021-11-25 02:08:00,9081.2,8891.5,8890.4,9080.7,0,9081.326404377436,9081.537137778472
2021-11-25 02:09:00,9080.8,8892.3,8891.1,9080.7,0,9081.187203404672,9081.444122469753
2021-11-25 02:10:00,9080.6,8893.5,8892.1,9079.3,0,9080.7678248703,9081.20588663978
2021-11-25 02:11:00,9079.2,8893.8,8892.2,9078.5,0,9080.26386378801,9080.905232568693
2021-11-25 02:12:00,9078.6,8892.9,8892.1,9077.9,0,9079.738560724008,9080.571317838838
2021-11-25 02:13:00,9078.0,8892.5,8891.2,9077.1,0,9079.152213896452,9080.185615856744
2021-11-25 02:14:00,9077.2,8891.3,8890.2,9078.1,0,9078.91838858613,9079.95388076155
2021-11-25 02:15:00,9078.0,8891.8,8890.1,9078.3,1,9078.780968900322,9079.770116232488
2021-11-25 02:16:00,9078.4,8892.5,8891.0,9077.7,0,9078.540753589139,9079.540103317768
2021-11-25 02:17:00,9077.6,8894.0,8892.3,9079.3,3,9078.709475013775,9079.51342517135
2021-11-25 02:18:00,9079.2,8893.9,8892.9,9078.9,0,9078.751813899602,9079.445266818977
2021-11-25 02:19:00,9079.0,8893.3,8892.3,9079.3,0,9078.873633033023,9079.429126061314
2021-11-25 02:20:00,9079.2,8892.7,8892.0,9079.3,0,9078.968381247907,9079.414778721168
2021-11-25 02:21:00,9079.2,8892.7,8891.4,9078.9,0,9078.95318541504,9079.357581085482
2021-11-25 02:22:00,9079.0,8892.9,8892.0,9080.3,0,9079.252477545031,9079.462294298206
2021-11-25 02:23:00,9080.2,8892.9,8891.9,9080.3,0,9079.485260312802,9079.555372709516
2021-11-25 02:24:00,9080.2,8892.0,8891.3,9081.1,0,9079.844091354402,9079.726997964013
2021-11-25 02:25:00,9081.2,8891.7,8890.5,9081.5,0,9080.212071053424,9079.923998190234
2021-11-25 02:26:00,9081.6,8891.6,8890.5,9081.5,0,9080.498277485996,9080.09910950243
